pairs,R2,p.adjusted,sig
CALYCOSA vs BREVIPETALA,0.09778499,0.01429857,.
CALYCOSA vs HIRSUTICAULIS,0.31788799,0.00139986,*
CALYCOSA vs AMERICANA,0.07677008,0.35616438,
CALYCOSA vs HISPIDA,0.25230049,0.00139986,*
CALYCOSA vs GRAYANA,0.56206267,0.00139986,*
CALYCOSA vs RICHARDSONII,0.70995957,0.04479552,.
BREVIPETALA vs HIRSUTICAULIS,0.27692256,0.00139986,*
BREVIPETALA vs AMERICANA,0.0315109,0.48805119,
BREVIPETALA vs HISPIDA,0.1084666,0.04319568,.
BREVIPETALA vs GRAYANA,0.40364483,0.00139986,*
BREVIPETALA vs RICHARDSONII,0.53676517,0.02309769,.
HIRSUTICAULIS vs AMERICANA,0.20030107,0.00139986,*
HIRSUTICAULIS vs HISPIDA,0.23810894,0.00139986,*
HIRSUTICAULIS vs GRAYANA,0.25522298,0.00139986,*
HIRSUTICAULIS vs RICHARDSONII,0.47229981,0.0259974,.
AMERICANA vs HISPIDA,0.20589798,0.12478752,
AMERICANA vs GRAYANA,0.63107611,0.07139286,
AMERICANA vs RICHARDSONII,0.881242,0.14285714,
HISPIDA vs GRAYANA,0.39437328,0.02159784,.
HISPIDA vs RICHARDSONII,0.66904394,0.12648735,
GRAYANA vs RICHARDSONII,0.51940689,0.14285714,